Deal ID,기사 제목,기사 작성일,LP,운용사,펀드명,펀드규모,펀드유형,투자섹터,조성상태,요약,url
1,"스틱벤처스, 800억 AI펀드 결성 ‘속도전’",,"산업은행, 모태펀드, 한국벤처투자, 한국통신사업자연합회(KTOA), 국민연금, 행정공제회, 증권사 및 금융권 출자자","스틱벤처스, 스틱인베스트먼트",,약 800억 원,벤처,"ICT & Digitalization, ETC",신규결성,"스틱벤처스가 약 800억 원 규모의 AI 펀드 결성에 속도를 내고 있으며, 산업은행과 모태펀드 등 주요 LP로부터 출자금을 확보했다. 하나벤처스, 한국벤처투자, KTOA 등 출자사업에서 위탁운용사로 선정되어 최소 목표 결성액을 상향 조정했으며, 내년 1분기 중 펀드 결성을 마무리할 계획이다.",https://www.newstopkorea.com/news/articleView.html?idxno=41572
2,"티인베스트, 딥테크 펀딩 도전…기술금융 라인업 확장",,한국성장금융,티인베스트먼트,성장사다리2 기술금융(딥테크) 분야 모펀드,최소 445억원 이상,벤처,"Semiconductor & Industrial, Biotech & Healthcare, ICT & Digitalization, ETC",위탁운용사 선정,"티인베스트먼트가 한국성장금융의 성장사다리2 기술금융(딥테크) 분야 출자사업에 도전하며 최소 445억원 규모 모펀드 조성을 추진 중이다. 한국성장금융은 해당 분야에서 2개 운용사를 선정할 예정이며, 티인베스트먼트는 내부 전담팀을 구성해 기술금융 라인업을 확장하고 있다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512101342253240103078&lcode=00&page=2&svccode=03
3,"티인베스트, 딥테크 펀딩 도전…기술금융 라인업 확장",,한국성장금융,티인베스트먼트,,최소 445억원 이상 규모의 모펀드,벤처,"Semiconductor & Industrial, ICT & Digitalization, Biotech & Healthcare, ETC",위탁운용사 선정,"티인베스트먼트가 성장사다리2 기술금융(딥테크) 분야 출자사업에 도전하며 한국성장금융이 최소 445억원 이상 규모의 모펀드 조성을 위해 2개 운용사를 선정 중이다. 해당 출자사업은 반도체, AI, 바이오 등 국가전략기술 분야에 집중 투자하는 기술금융 펀드 조성을 목표로 한다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512101342253240103078&lcode=00&page=3&svccode=03
4,"[LP Radar]중기부, 모태 자펀드에 '지역투자 의무화' 추진한다",,"중소벤처기업부, 한국벤처투자",한국벤처투자,모태펀드 1차정시 출자사업,,벤처,ETC,모집중,"중소벤처기업부가 한국벤처투자가 운용하는 모태펀드 1차정시 출자사업에 지역투자 의무비율을 내년부터 일부 의무적으로 적용하기로 결정했다. 현재 약정총액의 20% 안팎으로 구체 비율을 논의 중이며, 내년 1월경 최종 확정 예정이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512111522055040103971&lcode=00&page=1&svccode=03
5,"[LP Radar]중기부, 모태 자펀드에 '지역투자 의무화' 추진한다",,"중소벤처기업부, 한국벤처투자",한국벤처투자,,,,ETC,위탁운용사 선정,중소벤처기업부가 한국벤처투자가 운용하는 모태펀드 출자사업에 지역투자 의무비율을 내년 1차 정시 출자사업부터 적용하기로 결정하고 구체 비율을 논의 중이다. 또한 한국벤처투자 지역사무소 확충과 엔젤투자허브 확대 등 지역 벤처 생태계 활성화 방안을 발표했다.,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512111522055040103971&lcode=00&page=3&svccode=03
6,"[LP Radar]모태펀드 1차 정시, 내년 1월말 공고 유력",,한국벤처투자,,,,,ETC,공고예정,"한국벤처투자가 내년 1월 말 모태펀드 1차 정시 출자사업 공고를 예정하고 있으며, 출자사업 공고 시점이 1월 말로 정례화될 가능성이 높다. 이번 출자사업은 연간 펀드레이징의 시작점으로 VC 업계에서 주목받고 있다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512111611398160101758&lcode=00&page=2&svccode=03
7,"김대현호 키움인베, 2년연속 1000억 초과 펀딩",,"한국벤처투자, IBK기업은행, 키움증권",키움인베스트먼트,스타트업코리아-KIF 키움뉴히어로9호,850억원 규모,벤처,ETC,신규결성,"키움인베스트먼트가 한국벤처투자와 IBK기업은행, 키움증권의 출자금을 앵커로 850억원 규모의 스타트업코리아-KIF 키움뉴히어로9호 펀드를 결성총회 개최를 통해 신규 결성한다. 또한 산업은행 AI코리아 펀드와 모태펀드 K-바이오·백신 6호 펀드 GP 자격을 확보해 내년 상반기 클로징을 목표로 펀드레이징을 진행 중이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512111713347640106959&lcode=00&page=2&svccode=03
8,"'신생 VC' AOA캐피탈, 170억 루키펀드 결성",,모태펀드,에이오에이캐피탈파트너스,에이오에이 캐즘돌파 투자조합,170억원,벤처,ETC,1차 클로징,"에이오에이캐피탈파트너스가 모태펀드 출자를 기반으로 170억원 규모의 '에이오에이 캐즘돌파 투자조합'을 결성하고 1차 클로징을 마무리했다. 현재 지자체 출자사업 심사를 받고 있으며, 2차 클로징을 통해 펀드 규모를 200억원 이상으로 확대할 계획이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512120853503180109480&lcode=00&page=1&svccode=03
9,"ES인베스터, '딥테크 주력' 265억 신규 펀드 결성",,"모태펀드, 민간 LP 다수",ES인베스터,이에스12호넥스트테크유니콘펀드,265억원,벤처,"Biotech & Healthcare, ETC",신규결성,ES인베스터가 딥테크 분야 투자를 위한 265억원 규모의 '이에스12호넥스트테크유니콘펀드'를 신규 결성했다. 모태펀드로부터 100억원을 출자받았으며 민간 LP들과의 협력을 통해 멀티클로징으로 펀드 규모를 추가 확대할 계획이다.,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512120900053420103451&lcode=00&page=1&svccode=03
10,"IBK벤처, 500억 스케일업펀드 1년만에 소진",,"모태펀드, 미래과학기술지주, IBK금융그룹","IBK벤처투자, 코오롱인베스트먼트, 퓨처플레이, SBI인베스트먼트, 대신증권",스타트업 코리아 IBKVC-코오롱 2024 펀드,500억 원,벤처,ETC,소진,"IBK벤처투자는 코오롱인베스트먼트와 컨소시엄으로 결성한 500억 원 규모의 '스타트업 코리아 IBKVC-코오롱 2024 펀드'를 1년 만에 소진했다. 또한, 모태펀드 출자사업을 통해 SBI인베스트먼트와 925억 원 규모 신규 펀드를 결성하고, 대신증권과 400억 원 규모 추가 펀드 결성도 앞두고 있다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512121052556200106215&lcode=00&page=1&svccode=03
